City,Library,SaleDetails
"Bismarck, ND",Bismarck Public Library,Oct 3 - 5
"Fargo, ND",Klai Juba Library,Ongoing
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
