City,Library,SaleDetails
"Rutherford, NJ",Rutherford Public Library,Oct 18 - 21
"Sewaren, NJ",Sewaren Free Public Library,Ongoing
"Shrewsbury, NJ",Eastern Branch Library,Ongoing
"Somers Point, NJ",Atlantic County Library,Ongoing
"Somerset, NJ",Franklin Twp. Public Library,Ongoing
"Succasunna, NJ",Roxbury Public Library,Sept 6 - 8
"Swedesboro, NJ",Swedesboro Public Library,Ongoing
"Upper Saddle River, NJ",Upper Saddle River Library,Sept 14; Oct 12; Nov 9; Dec 14
"Ventnor, NJ",Atlantic County Library,Ongoing
"Verona, NJ",Verona Public Library,Ongoing
"Voorhees, NJ",2120 Voorhees Town Center,Sept
"Wall, NJ",Wall Public Library,Sept 14 - 25; Dec 7 - 18
"Wallington, NJ",John F. Kennedy Memorial Library,Ongoing
"Wantage, NJ",Sussex-Wantage Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Waretown, NJ",Friends of the Waretown Library,June 28 - 29; July 26 - 27; Aug 23 - 24; Sept 27 - 28; Oct 25 - 26; Nov 22 - 23
"Warren, NJ",Warren Township Library,Ongoing
"Washington Twp. (Gloucester County), NJ",Margaret E. Heggan Free Public Library,Ongoing
"Watchung, NJ",Watchung Public Library,Ongoing
"Wayne, NJ",Wayne Public Library,June 29; July 27; Aug 31; Sept 28; Oct 26; Nov 30; Dec 28
"West Milford, NJ",Friends of West Milford Library,Sept
"West Milford, NJ",West Milford Library,Ongoing
"Westampton, NJ",Burlington County Library,Sept 5 - 8; Dec 5 - 8
"Westfield, NJ",Westfield Memorial Library,Oct
"Westwood, NJ",Westwood Public Library,Sept 14; Oct 12; Nov 9; Dec 14
"Williamstown, NJ",Monroe Township Library,Sept
"Woodbridge, NJ",Woodbridge Public Library,Ongoing
"Woodbury, NJ",Woodbury Public Library,Ongoing
"Auburn, NY",Auburn Book Bonanza,July 26 - 28
"Corning, NY",Friends of the Southeast Steuben County Library,Oct
"Deansboro, NY",Berry Hill Book Shop,July 5 - 28
"Pleasantville, NY",Mt. Pleasant Public Library,Oct
"West Shokan, NY",Olive Free Library,June 22
"Bethlehem, PA",Bethlehem Area Public Library,July 17 - 20
"Exton, PA",Chester County Library,Oct
"Harrisburg, PA",East Shore Area Library,Oct
"Harrisburg, PA",Midtown Scholar Bookstore,Oct
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Lancaster, PA",Bookworm Frolic!,Sept 12 - 21
"Lebanon, PA",Garman's Book Sale,Aug 9 - 10
"Levittown, PA",Levittown Library,Oct
"Mechanicsburg, PA",Friends of the Joseph T. Simpson Public Library Book Sale,Aug 9 - 11
"Media, PA",Media-Upper Providence Free Library,Oct 19 - 21
"Mount Joy, PA",Friends of Milanof-Schock Library,June 20 - 22
"New Milford, PA",Harford Fair!,Aug 12 - 17
"Wayne, PA",Friends of the Radnor Library,Oct
"Abingdon, VA",Washington County Public Library,July 26 - Aug 4
"Annandale, VA",George Mason Friends at George Mason Regional Library,Sept 25 - 29
"Arlington, VA",Arlington Central Library,Oct 3 - 6
