City,Library,SaleDetails
"Aberdeen, SD",Delta Kappa Gamma Book Sale,Sept
"Hot Springs, SD",Hot Springs Library,Bookstore
"Huron, SD",Huron Public Library,Bookstore
"Mitchell, SD",Mitchell Public Library,Bookstore
"Rapid City, SD",Rapid City Library,Bookstore
"Sioux Falls, SD",No Name Found,Bookstore
"Watertown, SD",Watertown Regional Friends of the Library,Sept 6 - 8
"Yankton, SD",Yankton Community Library,July 13; Aug 31
