City,Library,SaleDetails
"Brigham City, UT",Brigham City Library,Aug
"Logan, UT",Logan Library,Bookstore
"Park City, UT",Friends of Park City Library,July 4 - 5
"Roy, UT",Weber County Library,Aug 24
"Springville, UT",Springville Public Library,June; Oct
