Latitude,Longitude,Library,SaleDetails
33.67500392779182,-95.53387069402598,"Paris Public Library","Ongoing"
33.02277911713034,-96.7173277626031,"Friends of Plano Public Library","Ongoing"
33.16378594365807,-97.26794762960338,"Betty Foster Public Library","Ongoing"
29.98069311712652,-93.93361800971321,"Effie &amp; Wilton Hebert Library","Ongoing"
32.775742337391996,-95.4759649485941,"Quitman Public Library","Ongoing"
29.575730210085684,-95.77656401572366,"George Memorial Library","Ongoing"
27.998892869705152,-97.05400016780287,"Aransas County Public Library","Ongoing"
30.532231366239564,-97.67741148917341,"Round Rock Public Library","Ongoing"
32.971792857844626,-96.60159977865084,"Sachse Public Library","Ongoing"
32.867067409359336,-97.37894101182044,"Saginaw Public Library","Ongoing"
31.480560320314407,-100.41727384626068,"Stephens Central Library","Bookstore"
29.429604341496905,-98.49488600646386,"McCreless Library","Ongoing"
29.430121973403747,-98.50975942499412,"Friends of San Antonio Public Library","Bookstore"
29.43255596576714,-98.47291006306072,"Tobin Library at Oakwell","Ongoing"
29.433910284366092,-98.5143905396854,"Cody Library","Ongoing"
29.420730886228053,-98.48499429481001,"Thousand Oaks Library","June; Dec"
29.40064574208453,-98.51630550351017,"Brook Hollow Branch Library","June 22"
29.430853482515964,-98.49575754629464,"John Igo Branch Library","July; Oct"
29.444861673847313,-98.49312909913954,"Parman Library","Nov"
29.42589846616802,-98.47106157077059,"Encino Library","Oct"
29.858683161460473,-97.92974960641877,"San Marcos Public Library","July 12 - 14; Oct 18 - 20"
33.35112768977728,-97.16849112483312,"Sanger Public Library","Sept 13 - 14"
32.32880252188955,-96.19005383750047,"Library at Cedar Creek Lake","Sept"
33.6192660425885,-96.63291032198885,"Sherman Public Library","July 20; Sept 21"
32.95242102616488,-97.11100903704244,"Southlake Library","Ongoing"
30.104161089104867,-95.39423510178798,"Barbara Bush Library","Bookstore"
32.154171720555084,-101.7704431563181,"Martin County Library","Ongoing"
29.634329884718415,-95.62979250957764,"First Colony Library","July 20; Aug 3; Oct 5; Dec 7"
29.612779808395594,-95.64370553284537,"University Branch Library","Sept 14"
31.089895116522985,-97.320205632292,"Friends of Temple Public Library","Aug 27 - 31"
33.45026181041726,-94.06520277824472,"Friends of Texarkana Public Library","Ongoing"
33.069223108937535,-96.8757221694819,"The Colony Public Library","Ongoing"
33.437794904389655,-96.56268743630847,"Friends of Van Alstyne Public Library","Oct"
31.561259010102514,-97.16022656084861,"Friends of the Waco-McLennan County Library","Nov"
32.880208069270424,-97.25508215904934,"Watauga Public Library","Ongoing"
32.39997252630613,-96.84520918667992,"Friends of Sims Library","Oct"
32.747154083560666,-97.76314912756094,"Weatherford Public Library","Oct"
26.175242466999073,-97.99931121825423,"Weslaco Public Library","Bookstore"
29.29433518577352,-96.10957193591487,"Friends of the Wharton County Library Bookstore","Ongoing"
33.51888540265473,-96.39639819190363,"Whitewright Public Library","Oct"
33.91201451933987,-98.48114981093158,"Friends Book Warehouse","July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7"
33.51497814435728,-101.99424964723683,"Wolfforth Library","Dec"
