Latitude,Longitude,Library,SaleDetails
41.15927579637779,-81.88439308357854,"Buckeye Library","Ongoing"
41.13682335417065,-81.85462469568097,"Highland Library","Oct 18 - 19"
41.64295069754035,-81.35343522603611,"Read House, adjacent to Mentor Public Library","Ongoing"
41.338917144989374,-81.78883360224583,"Middleburg Heights Branch Library","Ongoing"
41.44800475307544,-81.0941823040115,"Middlefield Library","Ongoing"
39.52941978455223,-84.39133861808808,"at 2204 Central Ave","Sept"
41.31636786968839,-82.59691512740073,"Milan Public Library","July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7"
40.375434023044264,-82.49536392708723,"Public Library of Mt. Vernon &amp; Knox Cty","Bookstore"
40.55322747367605,-82.83860876697852,"Mt. Gilead Public Library","Oct"
41.10175252485759,-82.4166666700372,"New London Public Library","Aug 30 - 31"
39.847623947315334,-84.79868845151726,"New Paris Branch Library","Oct"
40.857851905156494,-81.38130554547173,"North Canton Public Library","Aug 22 - 24"
41.41436658919207,-82.03505315961556,"North Ridgeville Branch Library","Oct 17 - 20"
41.32853604568403,-81.70783384488755,"North Royalton Branch Library","Ongoing"
41.34566433204661,-81.5204909216572,"Nordonia Hills Branch Library","Sept 13 - 14"
40.844222592757085,-81.75931886025873,"Orrville Public Library","Oct"
41.6996112027368,-81.26476901163689,"Painesville Morley Library","Nov"
41.35907311426012,-81.7357610649239,"Parma Branch Library","Ongoing"
41.399101131163945,-81.78299134430402,"No Name Found","Ongoing"
41.4799519864039,-81.47993685056822,"Orange Library","Ongoing"
41.581825554597216,-83.6453582751291,"Way Public Library","Nov 7 - 9"
39.87967708013481,-82.76617178440686,"Pickerington Public Library","Nov"
41.03958260981121,-80.63036520689917,"Public Library of Youngstown &amp; Mahoning County","Bookstore"
40.141550629665275,-83.05141860676102,"No Name Found","Oct 5"
40.1767174319939,-83.07921790582087,"Liberty Branch Library","Aug 10"
41.14489704918558,-81.23683140399342,"Reed Memorial Library","Nov"
40.55227127647498,-84.39655655694715,"St. Marys Community Public Library","Aug"
41.02567571527702,-81.87971981880179,"Seville Library","Ongoing"
41.4950690644948,-81.53512047032983,"Shaker Heights Public Library","Oct"
40.85652000915418,-82.6787112209077,"Marvin Memorial Library","July; Nov"
41.36918085689056,-81.42061549098133,"Solon Library","Oct"
41.5406548208965,-81.5197238043315,"Clara Fritzsche Library","Ongoing"
40.12806068102144,-83.9474670541248,"St. Paris Public Library","Ongoing"
41.13791811945557,-81.43437958945881,"Stow-Munroe Falls Public Library","Oct"
41.336131997020566,-81.84318159450604,"Strongsvlle Library","Ongoing"
41.11365401037366,-81.44576378002844,"Tallmadge Branch Library","Oct 25 - 26"
41.6875319351755,-81.06664745722512,"Thompson Branch Library","July 20"
40.05788397745795,-84.18818041025048,"Friends of Troy-Miami County Public Library at Miami County Fairgrounds","Oct"
41.336590015477306,-81.45263369583634,"Twinsburg Public Library","Bookstore"
40.95246531085245,-81.38303127680983,"Lake Community Library","June 20 - 22"
40.092139241673785,-83.76482799190413,"Champaign County Library","Oct 3 - 5"
41.4242597052754,-82.35310336913075,"Ritter Public Library","June"
41.044889018670986,-81.72852716370572,"Wadsworth Public Library","Oct"
41.21580926748794,-80.83963706066397,"Warren-Trumbull County Public Library","Ongoing"
41.44692011821049,-81.4911749432634,"Warrensville Branch Library","Ongoing"
39.53157696680095,-83.4358821176083,"Carnegie Public Library with Fayette County AAUW","Sept"
39.91073305743751,-84.6229243057267,"West Manchester Library","Ongoing"
41.47319370299129,-81.93070294526001,"Porter Public Library","Oct 17 - 20"
39.4268360141652,-83.83285813066016,"Wilmington Public Library","Ongoing"
40.815761314728,-81.93802055251146,"Wayne County Public Library","July 11 - 13"
40.77750167553741,-81.95884249777029,"AAUW and Kiwanis Club of Wooster","Sept 24 - 28"
40.816350752576454,-81.9521953281069,"at Wayne County Fairgrounds","Aug 2 - 3"
40.06889093486546,-83.02559661532348,"Old Worthington Library","Aug 16 - 18; Nov 15 - 17"
